user_id,age,sex
0,45_54,1.0
1,25_34,0.0
2,45_54,0.0
3,65_inf,0.0
4,18_24,0.0
6,18_24,0.0
8,25_34,1.0
9,18_24,0.0
10,25_34,0.0
11,25_34,0.0
12,25_34,0.0
13,65_inf,0.0
14,18_24,0.0
15,18_24,0.0
16,18_24,0.0
17,35_44,0.0
19,35_44,0.0
20,25_34,1.0
21,55_64,0.0
22,45_54,0.0
24,25_34,1.0
25,55_64,1.0
26,18_24,0.0
27,35_44,0.0
28,35_44,0.0
30,25_34,0.0
31,35_44,0.0
32,25_34,0.0
33,18_24,1.0
34,25_34,0.0
35,18_24,0.0
36,35_44,0.0
37,45_54,0.0
39,55_64,0.0
40,25_34,0.0
42,25_34,0.0
43,35_44,0.0
44,25_34,0.0
45,25_34,0.0
46,35_44,1.0
47,35_44,0.0
48,35_44,1.0
50,25_34,1.0
52,25_34,0.0
53,45_54,0.0
54,45_54,0.0
55,45_54,0.0
56,55_64,0.0
57,25_34,0.0
58,35_44,0.0
59,65_inf,1.0
61,35_44,0.0
62,35_44,0.0
63,18_24,1.0
64,25_34,0.0
65,35_44,0.0
66,18_24,0.0
67,45_54,1.0
68,25_34,1.0
69,65_inf,0.0
70,18_24,0.0
72,35_44,1.0
73,35_44,1.0
74,35_44,0.0
75,35_44,1.0
76,25_34,0.0
77,65_inf,1.0
78,18_24,0.0
80,35_44,0.0
81,35_44,1.0
82,18_24,0.0
83,45_54,0.0
84,25_34,0.0
85,25_34,1.0
86,45_54,1.0
87,45_54,0.0
88,55_64,1.0
89,35_44,1.0
90,55_64,0.0
91,35_44,1.0
93,18_24,0.0
94,45_54,1.0
95,45_54,0.0
96,25_34,1.0
97,35_44,0.0
98,25_34,0.0
99,35_44,0.0
100,25_34,0.0
101,45_54,1.0
103,35_44,0.0
104,25_34,0.0
105,18_24,0.0
106,45_54,1.0
107,65_inf,0.0
108,25_34,1.0
109,18_24,0.0
110,45_54,0.0
111,35_44,1.0
112,18_24,0.0
114,25_34,0.0
116,35_44,1.0
117,18_24,0.0
118,25_34,0.0
119,25_34,0.0
120,45_54,0.0
121,25_34,0.0
122,18_24,0.0
123,25_34,1.0
124,35_44,0.0
125,45_54,0.0
127,18_24,0.0
128,18_24,0.0
130,25_34,0.0
132,25_34,0.0
133,35_44,0.0
134,35_44,0.0
138,55_64,0.0
139,25_34,0.0
141,45_54,0.0
142,55_64,0.0
143,25_34,0.0
144,35_44,1.0
145,55_64,0.0
146,25_34,0.0
147,45_54,0.0
148,25_34,1.0
149,35_44,0.0
150,35_44,0.0
151,18_24,0.0
152,25_34,0.0
153,35_44,0.0
154,25_34,0.0
155,45_54,0.0
156,18_24,0.0
157,18_24,0.0
158,35_44,0.0
159,25_34,1.0
160,35_44,0.0
161,35_44,1.0
162,35_44,0.0
164,35_44,
165,25_34,1.0
166,25_34,0.0
170,35_44,0.0
171,25_34,0.0
172,25_34,0.0
173,18_24,0.0
174,35_44,0.0
175,35_44,0.0
176,35_44,0.0
177,18_24,0.0
178,25_34,
179,35_44,0.0
180,35_44,1.0
181,25_34,0.0
182,25_34,0.0
183,25_34,0.0
184,45_54,1.0
185,45_54,1.0
186,18_24,1.0
187,18_24,0.0
189,65_inf,0.0
190,35_44,1.0
191,25_34,0.0
192,45_54,0.0
193,65_inf,0.0
194,25_34,0.0
195,45_54,0.0
196,25_34,0.0
197,18_24,0.0
198,25_34,0.0
199,25_34,0.0
200,25_34,0.0
201,25_34,0.0
202,18_24,1.0
203,45_54,0.0
204,45_54,0.0
205,65_inf,0.0
207,25_34,0.0
209,45_54,1.0
210,25_34,0.0
211,35_44,1.0
212,35_44,1.0
213,35_44,0.0
214,55_64,0.0
215,35_44,1.0
216,18_24,0.0
218,18_24,0.0
219,45_54,0.0
221,45_54,0.0
222,18_24,0.0
223,18_24,1.0
224,45_54,0.0
225,18_24,1.0
229,35_44,0.0
230,65_inf,0.0
231,25_34,0.0
232,35_44,0.0
233,25_34,0.0
235,25_34,0.0
236,25_34,0.0
237,35_44,0.0
238,25_34,0.0
239,65_inf,1.0
240,25_34,0.0
243,25_34,1.0
244,35_44,0.0
245,35_44,0.0
246,25_34,1.0
247,45_54,0.0
248,25_34,1.0
249,25_34,1.0
251,18_24,0.0
252,25_34,0.0
253,18_24,0.0
254,35_44,0.0
256,45_54,0.0
257,35_44,0.0
258,18_24,0.0
260,45_54,0.0
262,18_24,1.0
263,35_44,1.0
265,45_54,0.0
266,25_34,0.0
267,18_24,0.0
268,25_34,
269,25_34,0.0
270,25_34,0.0
271,45_54,1.0
272,18_24,0.0
273,25_34,0.0
274,35_44,1.0
276,35_44,0.0
277,35_44,1.0
278,18_24,1.0
279,65_inf,1.0
280,25_34,0.0
282,18_24,1.0
283,45_54,1.0
284,18_24,1.0
285,35_44,0.0
286,18_24,0.0
288,18_24,0.0
289,18_24,1.0
290,25_34,0.0
291,45_54,0.0
292,45_54,0.0
293,35_44,0.0
295,18_24,0.0
296,25_34,1.0
297,18_24,0.0
299,18_24,0.0
300,18_24,0.0
302,35_44,0.0
303,25_34,0.0
305,35_44,0.0
306,55_64,0.0
307,35_44,0.0
308,65_inf,0.0
309,35_44,1.0
310,25_34,0.0
311,55_64,0.0
312,25_34,1.0
313,18_24,0.0
314,35_44,1.0
316,25_34,0.0
317,35_44,0.0
320,45_54,1.0
321,25_34,0.0
322,25_34,0.0
325,35_44,0.0
326,35_44,0.0
327,65_inf,0.0
328,45_54,1.0
330,45_54,0.0
331,55_64,0.0
332,35_44,0.0
333,18_24,0.0
334,25_34,0.0
336,25_34,0.0
337,18_24,1.0
338,18_24,0.0
339,35_44,1.0
340,35_44,1.0
341,35_44,1.0
342,35_44,1.0
343,45_54,1.0
344,25_34,0.0
345,65_inf,0.0
349,18_24,
350,25_34,1.0
351,65_inf,0.0
352,25_34,0.0
353,18_24,0.0
354,18_24,1.0
355,35_44,0.0
356,18_24,0.0
358,45_54,1.0
359,25_34,0.0
360,25_34,0.0
361,25_34,1.0
362,35_44,0.0
363,25_34,0.0
364,35_44,0.0
365,25_34,0.0
366,18_24,0.0
368,25_34,1.0
369,35_44,0.0
370,25_34,0.0
371,25_34,1.0
372,18_24,0.0
373,55_64,1.0
374,25_34,0.0
375,18_24,0.0
377,45_54,0.0
378,25_34,0.0
379,35_44,0.0
381,35_44,0.0
383,45_54,0.0
384,45_54,0.0
385,45_54,1.0
386,55_64,0.0
387,18_24,0.0
389,65_inf,0.0
391,18_24,1.0
392,65_inf,0.0
393,18_24,0.0
394,25_34,0.0
396,25_34,0.0
397,45_54,1.0
398,25_34,0.0
399,25_34,0.0
400,25_34,0.0
401,18_24,0.0
403,25_34,1.0
404,45_54,0.0
405,25_34,0.0
406,45_54,0.0
407,55_64,0.0
408,18_24,0.0
410,45_54,1.0
411,35_44,0.0
412,25_34,1.0
413,45_54,1.0
414,25_34,1.0
415,35_44,1.0
416,18_24,1.0
417,18_24,0.0
419,25_34,0.0
420,45_54,1.0
421,18_24,0.0
424,35_44,0.0
425,45_54,0.0
427,55_64,1.0
429,45_54,0.0
430,25_34,1.0
431,18_24,1.0
432,25_34,0.0
433,45_54,1.0
434,18_24,0.0
435,18_24,1.0
436,35_44,0.0
438,18_24,0.0
439,18_24,0.0
440,35_44,0.0
441,25_34,0.0
442,55_64,1.0
443,18_24,1.0
444,35_44,0.0
445,18_24,0.0
446,65_inf,0.0
447,35_44,1.0
448,35_44,0.0
449,18_24,0.0
450,18_24,0.0
451,25_34,0.0
453,18_24,0.0
454,25_34,0.0
455,25_34,0.0
456,25_34,1.0
457,45_54,0.0
458,25_34,0.0
460,45_54,0.0
461,25_34,0.0
462,25_34,0.0
463,45_54,1.0
464,35_44,1.0
465,25_34,1.0
466,25_34,0.0
467,18_24,0.0
469,35_44,1.0
470,25_34,1.0
471,18_24,0.0
472,45_54,1.0
473,55_64,0.0
476,45_54,0.0
477,35_44,0.0
478,35_44,0.0
479,55_64,0.0
480,35_44,1.0
481,35_44,0.0
482,35_44,0.0
483,45_54,0.0
484,18_24,0.0
485,35_44,0.0
486,35_44,1.0
487,18_24,0.0
488,25_34,0.0
489,55_64,0.0
491,25_34,0.0
493,45_54,1.0
494,25_34,0.0
495,35_44,1.0
497,25_34,1.0
498,55_64,0.0
499,25_34,1.0
500,25_34,0.0
501,45_54,0.0
504,45_54,0.0
505,25_34,0.0
507,35_44,1.0
508,65_inf,1.0
509,45_54,0.0
510,55_64,1.0
511,18_24,0.0
512,18_24,0.0
513,18_24,0.0
515,25_34,0.0
517,45_54,1.0
518,18_24,0.0
519,35_44,1.0
520,35_44,1.0
521,35_44,0.0
522,25_34,0.0
525,25_34,1.0
526,18_24,1.0
527,25_34,0.0
528,55_64,0.0
529,25_34,0.0
530,45_54,0.0
532,18_24,0.0
533,25_34,0.0
534,35_44,1.0
535,35_44,0.0
536,45_54,0.0
537,55_64,1.0
539,18_24,0.0
541,25_34,1.0
542,25_34,0.0
543,18_24,0.0
544,25_34,0.0
545,25_34,0.0
546,25_34,0.0
547,65_inf,0.0
549,55_64,0.0
550,25_34,0.0
552,35_44,1.0
553,35_44,0.0
554,25_34,0.0
555,35_44,0.0
556,25_34,0.0
557,35_44,1.0
558,18_24,0.0
559,55_64,0.0
560,45_54,0.0
561,45_54,1.0
562,45_54,0.0
563,25_34,0.0
564,25_34,0.0
565,35_44,1.0
566,45_54,0.0
567,25_34,1.0
568,25_34,1.0
569,35_44,0.0
570,55_64,0.0
571,18_24,1.0
572,25_34,0.0
573,18_24,0.0
574,35_44,0.0
575,25_34,0.0
576,35_44,0.0
577,35_44,0.0
579,35_44,0.0
580,45_54,1.0
581,25_34,0.0
583,18_24,0.0
584,35_44,0.0
585,25_34,1.0
586,25_34,1.0
587,18_24,0.0
588,25_34,0.0
589,35_44,0.0
590,25_34,1.0
591,65_inf,1.0
592,35_44,0.0
593,45_54,0.0
594,55_64,0.0
596,45_54,0.0
597,35_44,0.0
598,45_54,0.0
